employeeId;020005(v5.0);020001;020022;020024;020021;020008(v5.0);020023;020019;020018;020004;020009(v5.0);000003;020008;SUM
HL00003;0;0;0;0;2;0;0;0;0;0;0;0;0;"HL00003;0;0;0;0;2;0;0;0;0;0;0;0;0"
